Date,Open,High,Low,Close,Volume,Ticker
2015-01-02,24.648441478964468,24.659506182275138,23.75446781268404,24.192604064941406,212818400,AAPL
2015-01-05,23.962471339063004,24.042132473375155,23.325183952802462,23.511058807373047,257142000,AAPL
2015-01-06,23.575233439406734,23.772173022582894,23.152586716885562,23.513275146484375,263188400,AAPL
2015-01-07,23.721278247722207,23.942558834690647,23.610637954237987,23.84298324584961,160423600,AAPL
2015-01-08,24.170481081024192,24.816620038545683,24.05320094296326,24.75908660888672,237458000,AAPL
2015-01-09,24.931677361721775,25.06002047662429,24.387327450645735,24.785633087158203,214798000,AAPL
2015-01-12,24.91618759295084,24.922825738800306,24.075322583368106,24.174898147583008,198603200,AAPL
2015-01-13,24.657288951103045,24.96044387790698,24.099662771315515,24.38953971862793,268367600,AAPL
2015-01-14,24.12843426037142,24.449290420951467,24.00894254649171,24.296607971191406,195826400,AAPL
2015-01-15,24.34086016459694,24.35413645717828,23.60178394813456,23.637187957763672,240056000,AAPL
2015-01-16,23.68365559685356,23.805360567456344,23.27871180910595,23.453523635864258,314053200,AAPL
2015-01-20,23.86290250265031,24.11295069684335,23.56638726664453,24.05763053894043,199599600,AAPL
2015-01-21,24.108517538238907,24.57541967816757,23.958046682410192,24.241287231445312,194303600,AAPL
2015-01-22,24.398396505882765,24.88742637071064,24.27890479360892,24.871936798095703,215185600,AAPL
2015-01-23,24.849807624202118,25.170663761693863,24.679420647171945,25.00027847290039,185859200,AAPL
2015-01-26,25.168446258435488,25.30564079070656,24.960443714443343,25.026826858520508,222460000,AAPL
2015-01-27,24.87636428093233,24.88964226473819,24.12622319302464,24.150564193725586,382274800,AAPL
2015-01-28,26.029228465091716,26.13765714169229,25.515857696533203,25.515857696533203,585908400,AAPL
2015-01-29,25.739352750639867,26.374428518206834,25.571179064885065,26.310256958007812,337745600,AAPL
2015-01-30,26.199623217911753,26.553671838105764,25.85663761470809,25.925235748291016,334982000,AAPL
2015-02-02,26.122171630877833,26.370004785647765,25.68624864341562,26.250513076782227,250956400,AAPL
2015-02-03,26.221747609729693,26.352302335998324,26.02480803700248,26.254940032958984,207662800,AAPL
2015-02-04,26.22174201363949,26.666516338222607,26.17969817397268,26.456298828125,280598800,AAPL
2015-02-05,26.66290499248517,26.70955879365363,26.491847269498656,26.64513397216797,168984800,AAPL
2015-02-06,26.662906100062138,26.71400223470758,26.31412460021994,26.420759201049805,174826400,AAPL
2015-02-09,26.336346130625422,26.622923176725912,26.309687051846403,26.59626579284668,155559200,AAPL
